SVSPP,COMNAME,SCINAME,FISH,PD,TL
234,,GONOSTOMA ATLANTICUM,Y,NA,NA
235,LONGTOOTH ANGLEMOUTH,GONOSTOMA ELONGATUM,Y,NA,NA
236,,VINCIGUERRIA ,Y,NA,NA
237,,POLYMETME THAEOCORYLA ,Y,NA,NA
239,SIMONYS FROSTFISH,BENTHODESMUS SIMONYI,Y,NA,NA
240,VIPERFISH,CHAULIODUS SLOANI,Y,NA,NA
241,,CHAULIODUS DANAE,Y,NA,NA
242,LONGNOSE GREENEYE,PARASUDIS TRUCULENTA,Y,NA,NA
243,BLUNTNOSE SMOOTHHEAD,XENODERMICHTHYS COPEI,Y,NA,NA
245,,PARALEPIS COREGONOIDES,Y,NA,NA
246,WHITE BARRACUDINA,ARCTOZENUS RISSO ,Y,NA,NA
248,SCALY DRAGONFISH UNCL,STOMIIDAE,Y,NA,NA
249,LUMPFISH SNAILFISH UNCL,CYCLOPTERIDAE,Y,NA,NA
250,SILVER HATCHETFISH,ARGYROPELECUS ACULEATUS,Y,NA,NA
251,SLOPE HATCHETFISH,POLYIPNUS CLARUS ,Y,NA,NA
252,HATCHETFISH UNCL,STERNOPTYCHIDAE,Y,NA,NA
261,BLACKMOUTHED ALFONSIN,HOPLOSTETHUS MEDITERRANEUS,Y,NA,NA
262,ATLANTIC SOFT POUT,MELANOSTIGMA ATLANTICUM,Y,NA,NA
263,BEARDFISH,POLYMIXIA LOWEI,Y,NA,NA
265,OCEAN SUNFISH,MOLA MOLA,Y,NA,NA
266,,HOPLOSTETHUS OCCIDENTALIS,Y,NA,NA
267,EELPOUT UNCL,ZOARCIDAE,Y,NA,NA
268,BIG ROUGHY,GEPHYROBERYX DARWINI,Y,NA,NA
270,COWNOSE RAY,RHINOPTERA BONASUS,Y,NA,NA
280,WESTERN SOFTHEAD GRENADIER,MALACOCEPHALUS OCCIDENTALIS,Y,NA,NA
285,PUNCTATE BLADE SHRIMP,SPIRONTOCARIS PHIPPSII,N,NA,NA
286,PARROT SHRIMP,SPIRONTOCARIS SPINUS,N,NA,NA
287,SEVENSPINE BAY SHRIMP,CRANGON SEPTEMSPINOSA,N,NA,NA
291,ARCTIC EUALID,EUALUS FABRICII,N,NA,NA
292,PINK GLASS SHRIMP,PASIPHAEA MULTIDENTATA,N,NA,NA
293,SPINY LEBBEID,LEBBEUS GROENLANDICUS,N,NA,NA
294,POLAR LEBBEID,LEBBEUS POLARIS,N,NA,NA
295,FRIENDLY BLADE SHRIMP,SPIRONTOCARIS LILJEBORGII,N,NA,NA
296,BRISTLED LONGBEAK,DICHELOPANDALUS LEPTOCERUS,N,NA,NA
297,AESOP SHRIMP,PANDALUS MONTAGUI,N,NA,NA
298,,PANDALUS PROPINQUUS,N,NA,NA
299,NORWEGIAN SHRIMP,PONTOPHILUS NORVEGICUS,N,NA,NA
301,AMERICAN LOBSTER,HOMARUS AMERICANUS,N,NA,NA
302,RIDGED SLIPPER LOBSTER,SCYLLARIDES NODIFER,N,NA,NA
303,SPANISH SLIPPER LOBSTER,SCYLLARIDES AEQUINOCTIALIS,N,NA,NA
305,SHRIMP UNCL,CRUSTACEA SHRIMP,N,NA,NA
306,NORTHERN SHRIMP,PANDALUS BOREALIS,N,NA,NA
307,SHRIMP (PINK -BROWN - WHITE),PENAEUS ,N,NA,NA
